total_games,threshold,k,precision
100,nan,1,0.1661659348278253
100,nan,5,0.15082042985902475
100,nan,10,0.14106771435174487
100,nan,20,0.14381788768199674
100,600.0,1,0.16778368384562053
100,600.0,5,0.12160850473769357
100,600.0,10,0.11361220244973423
100,600.0,20,0.1288652646175179
100,1200.0,1,0.17379246591171713
100,1200.0,5,0.13810954471920497
100,1200.0,10,0.1263461982898082
100,1200.0,20,0.13988906863877976
100,1800.0,1,0.1587705107464756
100,1800.0,5,0.13468916108158077
100,1800.0,10,0.1258146521839612
100,1800.0,20,0.13738155766119714
1000,nan,1,0.1616254906488109
1000,nan,5,0.17612560609558994
1000,nan,10,0.15968598476102513
1000,nan,20,0.1399099515123528
1000,600.0,1,0.3525744631724775
1000,600.0,5,0.2731932579081044
1000,600.0,10,0.2351419995382129
1000,600.0,20,0.1959939967674902
1000,1200.0,1,0.3107827291618564
1000,1200.0,5,0.24507042253521125
1000,1200.0,10,0.209397367813438
1000,1200.0,20,0.17678365273608865
1000,1800.0,1,0.28261371507734934
1000,1800.0,5,0.22562918494574002
1000,1800.0,10,0.1969291156776726
1000,1800.0,20,0.1641768644654814
